/* DATA DESCRIPTION:
Citation:	Naafs, Bernhard David A; Hefter, Jens; Acton, Gary D; Haug, Gerald H; Martinez-Garcia, Alfredo; Pancost, Richard D; Stein, Ruediger (2012): Concentrations and accumulation rates of biomarkers and SSTs at IODP Site 306-U1313. PANGAEA, https://doi.org/10.1594/PANGAEA.757946, 
	In supplement to: Naafs, BDA et al. (2012): Strengthening of North American dust sources during the late Pliocene (2.7 Ma). Earth and Planetary Science Letters, 317-318, 8-19, https://doi.org/10.1016/j.epsl.2011.11.026
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: http://www.iodp.org/)
Coverage:	LATITUDE: 41.000000 * LONGITUDE: -32.957300
	DATE/TIME START: 2004-03-28T00:00:00 * DATE/TIME END: 2004-04-02T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.00 m * MAXIMUM DEPTH, sediment/rock: 144.82 m
Event(s):	306-U1313 * LATITUDE: 41.000000 * LONGITUDE: -32.957300 * DATE/TIME START: 2004-03-28T00:00:00 * DATE/TIME END: 2004-04-02T00:00:00 * ELEVATION: -3426.0 m * CAMPAIGN: Exp306 (North Atlantic Climate 2) (URI: https://doi.org/10.2204/iodp.proc.303306.2006) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Composite Core (COMPCORE)
Comment:	DEPTH, sediment (m) is given in mbsf.
Parameter(s):	Sample code/label (Sample label) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
	Sample code/label 2 (Sample label 2) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001) * COMMENT: A/W referes to work or archive half
	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Depth, composite [mcd] (Depth comp) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk) * METHOD: Intercore correlation
	Depth, composite, adjusted [amcd] (Depth adj mcd) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk) * METHOD: Intercore correlation
	AGE [ka BP] (Age) * GEOCODE
	Sedimentation rate [cm/ka] (Sed rate) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk) * METHOD: Calculated
	n-Alkane, non reworked [ng/g] (n-Alkane non-rew) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
	Accumulation rate, n-Alkane, non-reworked [ng/cm**2/ka] (Acc rate n-Alkane non-rew) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
	C26-alkan-1-ol [ng/g] (C26-alkan-1-ol) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
	Accumulation rate, C26-alkan-1-ol [ng/cm**2/ka] (Acc rate C26-alkan-1-ol) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
	Sea surface temperature, annual mean [°C] (SST (1-12)) * PI: Naafs, Bernhard David A (https://orcid.org/0000-0001-5125-6928, david.naafs@bristol.ac.uk)
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	21096 data points
*/
Sample label	Sample label 2	Depth [m]	Depth comp [mcd]	Depth adj mcd [amcd]	Age [ka BP]	Sed rate [cm/ka]	n-Alkane non-rew [ng/g]	Acc rate n-Alkane non-rew [ng/cm**2/ka]	C26-alkan-1-ol [ng/g]	Acc rate C26-alkan-1-ol [ng/cm**2/ka]	SST (1-12) [°C]
50022239	306-U1313C-3H-6A,66-68	20.36	21.80	21.82	477.69	5.38	107.43	532.53			13.69
50019792	306-U1313B-3H-3A,72-74	19.12	21.82	21.82	477.69	5.38	116.26	587.39			13.89
50019793	306-U1313B-3H-3A,74-76	19.14	21.84	21.84	478.06	5.42	23.06	117.37			13.04
50022240	306-U1313C-3H-6A,68-70	20.38	21.82	21.84	478.06	5.42	75.86	400.85			13.87
50019794	306-U1313B-3H-3A,76-78	19.16	21.86	21.86	478.40	5.98	113.04	655.43			12.73
50019795	306-U1313B-3H-3A,78-80	19.18	21.88	21.88	478.73	5.98	115.28	641.83	76.51	425.98	12.82
50019796	306-U1313B-3H-3A,80-82	19.20	21.90	21.90	479.06	5.98	60.95	338.42			12.62
50019797	306-U1313B-3H-3A,82-84	19.22	21.92	21.92	479.40	5.98	27.42	161.77			15.57
50019798	306-U1313B-3H-3A,84-86	19.24	21.94	21.94	479.73	5.98	19.13	113.56			15.14
50019799	306-U1313B-3H-3A,86-88	19.26	21.96	21.96	480.07	5.98	27.53	163.71			16.50
50019800	306-U1313B-3H-3A,88-90	19.28	21.98	21.98	480.40	5.98	31.50	188.54			16.52
50019801	306-U1313B-3H-3A,90-92	19.30	22.00	22.00	480.74	5.98	18.58	108.94			14.46
50019802	306-U1313B-3H-3A,92-94	19.32	22.02	22.02	481.07	5.98	52.46	305.66			14.89
50019803	306-U1313B-3H-3A,94-96	19.34	22.04	22.04	481.41	5.98	25.76	150.14			13.67
50019804	306-U1313B-3H-3A,96-98	19.36	22.06	22.06	481.74	5.98	46.85	273.92			13.58
50019805	306-U1313B-3H-3A,98-100	19.38	22.08	22.08	482.08	5.98	30.81	179.43	10.84	63.15	13.39
50019806	306-U1313B-3H-3A,100-102	19.40	22.10	22.10	482.41	5.98	13.58	76.93			13.67
50019807	306-U1313B-3H-3A,102-104	19.42	22.12	22.12	482.74	5.98	15.32	84.48			13.51
50019808	306-U1313B-3H-3A,104-106	19.44	22.14	22.14	483.08	5.98	21.90	122.66			13.73
50019809	306-U1313B-3H-3A,106-108	19.46	22.16	22.16	483.41	5.98	11.73	67.73			13.46
50019810	306-U1313B-3H-3A,108-110	19.48	22.18	22.18	483.75	5.98	15.52	91.76			15.80
50019811	306-U1313B-3H-3A,110-112	19.50	22.20	22.20	484.08	5.98	8.79	52.37			14.36
50019813	306-U1313B-3H-3A,114-116	19.54	22.24	22.24	484.75	5.98	19.10	114.52			16.58
50019814	306-U1313B-3H-3A,116-118	19.56	22.26	22.26	485.09	5.98	17.10	100.18			15.19
50019815	306-U1313B-3H-3A,118-120	19.58	22.28	22.28	485.42	5.98	12.05	70.46			14.42
50019816	306-U1313B-3H-3A,120-122	19.60	22.30	22.30	485.76	5.98	12.64	75.53			14.89
50019817	306-U1313B-3H-3A,122-124	19.62	22.32	22.32	486.09	5.98	19.75	113.12			14.95
50019818	306-U1313B-3H-3A,124-126	19.64	22.34	22.34	486.43	5.98	20.55	116.69			14.98
50019819	306-U1313B-3H-3A,126-128	19.66	22.36	22.36	486.76	5.98	27.43	157.46			16.20
50019820	306-U1313B-3H-3A,128-130	19.68	22.38	22.38	487.09	5.98	42.13	245.25			15.97
50019821	306-U1313B-3H-3A,130-132	19.70	22.40	22.40	487.43	5.98	11.85	68.72			16.25
50019822	306-U1313B-3H-3A,132-134	19.72	22.42	22.42	487.76	5.98	17.10	100.86			14.09
50019823	306-U1313B-3H-3A,134-136	19.74	22.44	22.44	488.10	5.98	13.79	79.39			16.80
50019824	306-U1313B-3H-3A,136-138	19.76	22.46	22.46	488.43	5.98	24.06	140.50			15.75
50019825	306-U1313B-3H-3A,138-140	19.78	22.48	22.48	488.77	5.98	12.00	72.97			16.90
50019826	306-U1313B-3H-3A,140-142	19.80	22.50	22.50	489.10	5.98	26.40	155.33			15.21
50019827	306-U1313B-3H-3A,142-144	19.82	22.52	22.52	489.44	5.98	18.79	116.39			16.70
50019829	306-U1313B-3H-3A,146-148	19.86	22.56	22.56	490.11	5.98	23.54	136.76			16.59
50019830	306-U1313B-3H-3A,148-150	19.88	22.58	22.58	490.44	5.98	11.54	65.10			16.93
50019832	306-U1313B-3H-4A,2-4	19.92	22.62	22.62	491.11	5.98	5.24	31.38			17.90
50019833	306-U1313B-3H-4A,4-6	19.94	22.64	22.64	491.44	5.98	10.99	67.67			17.75
50019834	306-U1313B-3H-4A,6-8	19.96	22.66	22.66	491.78	5.98	9.72	61.42			18.83
50019835	306-U1313B-3H-4A,8-10	19.98	22.68	22.68	492.11	5.98	14.20	90.57			17.85
50019837	306-U1313B-3H-4A,12-14	20.02	22.72	22.72	492.78	5.98	6.16	36.61	2.53	15.05	18.84
50019838	306-U1313B-3H-4A,14-16	20.04	22.74	22.74	493.12	5.98	8.70	52.09			17.65
50019839	306-U1313B-3H-4A,16-18	20.06	22.76	22.76	493.45	5.98	9.25	55.01			15.68
50019840	306-U1313B-3H-4A,18-20	20.08	22.78	22.78	493.79	5.98	15.18	88.27			18.48
50019841	306-U1313B-3H-4A,20-22	20.10	22.80	22.80	494.12	5.98	5.53	32.26			17.09
50019842	306-U1313B-3H-4A,22-24	20.12	22.82	22.82	494.45	5.98	8.03	46.07			17.98
50019843	306-U1313B-3H-4A,24-26	20.14	22.84	22.84	494.79	5.98	10.70	60.75			16.85
50019844	306-U1313B-3H-4A,26-28	20.16	22.86	22.86	495.12	5.98	7.46	42.82			16.69
50019845	306-U1313B-3H-4A,28-30	20.18	22.88	22.88	495.46	5.98	8.96	52.37			17.52
50019846	306-U1313B-3H-4A,30-32	20.20	22.90	22.90	495.79	5.98	6.82	39.62			16.23
50019847	306-U1313B-3H-4A,32-34	20.22	22.92	22.92	496.13	5.98	13.04	75.15			17.60
50019848	306-U1313B-3H-4A,34-36	20.24	22.94	22.94	496.46	5.98	14.02	80.57			17.57
50019850	306-U1313B-3H-4A,38-40	20.28	22.98	22.98	497.13	5.98	13.45	79.77			17.29
50019851	306-U1313B-3H-4A,40-42	20.30	23.00	23.00	497.47	5.98	6.83	41.00			19.94
50019852	306-U1313B-3H-4A,42-44	20.32	23.02	23.02	497.80	5.98	9.07	51.45			18.30
50019853	306-U1313B-3H-4A,44-46	20.34	23.04	23.04	498.13	5.98	16.92	96.10			17.87
50019854	306-U1313B-3H-4A,46-48	20.36	23.06	23.06	498.47	5.98	17.58	101.74			17.40
50019855	306-U1313B-3H-4A,48-50	20.38	23.08	23.08	498.80	5.98	18.18	106.34			17.44
50019857	306-U1313B-3H-4A,52-54	20.42	23.12	23.12	499.47	5.98	7.58	44.39			17.09
50019858	306-U1313B-3H-4A,54-56	20.44	23.14	23.14	499.81	5.98	14.74	87.51			16.01
50019859	306-U1313B-3H-4A,56-58	20.46	23.16	23.16	500.14	5.98	23.67	139.14			17.05
50019860	306-U1313B-3H-4A,58-60	20.48	23.18	23.18	500.48	5.98	19.20	110.56			17.46
50019861	306-U1313B-3H-4A,60-62	20.50	23.20	23.20	500.81	5.98	8.11	48.20			16.01
50019862	306-U1313B-3H-4A,62-64	20.52	23.22	23.22	501.10	6.97	12.58	86.19			16.98
50019863	306-U1313B-3H-4A,64-66	20.54	23.24	23.24	501.38	7.17	18.49	127.38			16.42
50019864	306-U1313B-3H-4A,66-68	20.56	23.26	23.26	501.66	7.17	11.49	79.31			16.42
50019865	306-U1313B-3H-4A,68-70	20.58	23.28	23.28	501.94	7.17	13.98	99.11			18.21
50019866	306-U1313B-3H-4A,70-72	20.60	23.30	23.30	502.20	7.64	8.47	64.73			20.16
50019867	306-U1313B-3H-4A,72-74	20.62	23.32	23.32	502.42	8.97	15.67	139.40			17.81
50019868	306-U1313B-3H-4A,74-76	20.64	23.34	23.34	502.64	8.97	20.11	176.56			16.60
50019869	306-U1313B-3H-4A,76-78	20.66	23.36	23.36	502.87	8.97	22.40	193.61			16.53
50019870	306-U1313B-3H-4A,78-80	20.68	23.38	23.38	503.09	8.97	26.79	231.34			16.74
50019871	306-U1313B-3H-4A,80-82	20.70	23.40	23.40	503.31	8.97	8.55	77.02			16.68
50019872	306-U1313B-3H-4A,82-84	20.72	23.42	23.42	503.54	8.97	29.19	256.70			15.37
50019873	306-U1313B-3H-4A,84-86	20.74	23.44	23.44	503.76	8.97	33.09	286.07			15.51
50019874	306-U1313B-3H-4A,86-88	20.76	23.46	23.46	503.98	8.97	31.22	265.54			15.94
50019875	306-U1313B-3H-4A,88-90	20.78	23.48	23.48	504.20	8.97	31.54	262.21			15.82
50019876	306-U1313B-3H-4A,90-92	20.80	23.50	23.50	504.43	8.97	17.34	139.24			16.10
50019877	306-U1313B-3H-4A,92-94	20.82	23.52	23.52	504.65	8.97	33.85	280.32			16.73
50019878	306-U1313B-3H-4A,94-96	20.84	23.54	23.54	504.87	8.97	47.98	404.42			15.99
50019879	306-U1313B-3H-4A,96-98	20.86	23.56	23.56	505.10	8.97	48.57	414.05			15.66
50019880	306-U1313B-3H-4A,98-100	20.88	23.58	23.58	505.32	8.97	44.11	374.98			15.61
50019881	306-U1313B-3H-4A,100-102	20.90	23.60	23.60	505.54	8.97	25.48	208.28			16.00
50019882	306-U1313B-3H-4A,102-104	20.92	23.62	23.62	505.77	8.97	55.18	455.98			16.14
50019883	306-U1313B-3H-4A,104-106	20.94	23.64	23.64	505.99	8.97	46.90	380.65			16.10
50019884	306-U1313B-3H-4A,106-108	20.96	23.66	23.66	506.21	8.97	59.48	480.05			16.10
50019885	306-U1313B-3H-4A,108-110	20.98	23.68	23.68	506.43	8.97	75.02	614.41	15.97	130.78	14.76
50019886	306-U1313B-3H-4A,110-112	21.00	23.70	23.70	506.66	8.97	20.08	165.83			15.36
50019887	306-U1313B-3H-4A,112-114	21.02	23.72	23.72	506.88	8.97	47.09	388.37			14.50
50019888	306-U1313B-3H-4A,114-116	21.04	23.74	23.74	507.10	8.97	63.27	532.92			13.96
50019889	306-U1313B-3H-4A,116-118	21.06	23.76	23.76	507.33	8.97	31.41	269.31			16.99
50019890	306-U1313B-3H-4A,118-120	21.08	23.78	23.78	507.55	8.97	38.93	336.27			16.46
50019891	306-U1313B-3H-4A,120-122	21.10	23.80	23.80	507.77	8.97	10.73	93.15			16.65
50019892	306-U1313B-3H-4A,122-124	21.12	23.82	23.82	508.00	8.97	34.52	302.50			16.84
50019893	306-U1313B-3H-4A,124-126	21.14	23.84	23.84	508.22	8.97	35.90	313.48			16.30
50019894	306-U1313B-3H-4A,126-128	21.16	23.86	23.86	508.44	8.97	42.54	365.14			16.07
50019895	306-U1313B-3H-4A,128-130	21.18	23.88	23.88	508.67	8.97	33.49	284.22			16.22
50019896	306-U1313B-3H-4A,130-132	21.20	23.90	23.90	508.89	8.97	22.90	201.14			16.49
50019897	306-U1313B-3H-4A,132-134	21.22	23.92	23.92	509.11	8.97	45.14	388.79			15.19
50019898	306-U1313B-3H-4A,134-136	21.24	23.94	23.94	509.33	8.97	51.98	437.09			15.33
50019899	306-U1313B-3H-4A,136-138	21.26	23.96	23.96	509.56	8.97	54.86	454.40			14.74
50019900	306-U1313B-3H-4A,138-140	21.28	23.98	23.98	509.78	8.97	38.90	321.80	14.82	122.63	14.05
50019901	306-U1313B-3H-4A,140-142	21.30	24.00	24.00	510.00	8.97	20.89	173.98			14.16
50019902	306-U1313B-3H-4A,142-144	21.32	24.02	24.02	510.23	8.97	41.93	348.76			14.13
50019903	306-U1313B-3H-4A,144-146	21.34	24.04	24.04	510.45	8.97	34.00	287.33			15.24
50019904	306-U1313B-3H-4A,146-148	21.36	24.06	24.06	510.67	8.97	50.93	437.28			16.23
50019905	306-U1313B-3H-4A,148-150	21.38	24.08	24.08	510.90	8.97	35.81	310.84			16.37
50019906	306-U1313B-3H-5A,0-2	21.40	24.10	24.10	511.12	8.97	13.12	115.20			16.84
50019907	306-U1313B-3H-5A,2-4	21.42	24.12	24.12	511.34	8.97	21.36	189.79			16.74
50019908	306-U1313B-3H-5A,4-6	21.44	24.14	24.14	511.56	8.97	23.82	214.06			16.41
50019909	306-U1313B-3H-5A,6-8	21.46	24.16	24.16	511.79	8.97	24.21	217.82			16.95
50019910	306-U1313B-3H-5A,8-10	21.48	24.18	24.18	512.01	8.97	19.08	171.23			16.72
50019911	306-U1313B-3H-5A,10-12	21.50	24.20	24.20	512.23	8.97	12.38	112.94			17.37
50019912	306-U1313B-3H-5A,12-14	21.52	24.22	24.22	512.46	8.97	23.08	201.63	15.27	133.42	17.08
50019913	306-U1313B-3H-5A,14-16	21.54	24.24	24.24	512.68	8.97	11.42	101.12			17.23
50019914	306-U1313B-3H-5A,16-18	21.56	24.26	24.26	512.90	8.97	25.00	224.72			17.00
50019915	306-U1313B-3H-5A,18-20	21.58	24.28	24.28	513.13	8.97	16.16	143.36			17.59
50019916	306-U1313B-3H-5A,20-22	21.60	24.30	24.30	513.35	8.97	13.32	112.46			16.69
50019917	306-U1313B-3H-5A,22-24	21.62	24.32	24.32	513.57	8.97	18.16	160.35			16.94
50019918	306-U1313B-3H-5A,24-26	21.64	24.34	24.34	513.80	8.97	22.03	195.09			16.86
50019919	306-U1313B-3H-5A,26-28	21.66	24.36	24.36	514.02	8.97	17.23	152.01			17.04
50019920	306-U1313B-3H-5A,28-30	21.68	24.38	24.38	514.24	8.97	20.59	181.10			17.32
50019921	306-U1313B-3H-5A,30-32	21.70	24.40	24.40	514.46	8.97	8.86	76.30			17.04
50019922	306-U1313B-3H-5A,32-34	21.72	24.42	24.42	514.69	8.97	24.80	228.79			16.74
50019923	306-U1313B-3H-5A,34-36	21.74	24.44	24.44	514.91	8.97	20.80	188.51			17.62
50019924	306-U1313B-3H-5A,36-38	21.76	24.46	24.46	515.13	8.97	17.81	157.99			17.94
50019925	306-U1313B-3H-5A,38-40	21.78	24.48	24.48	515.36	8.97	16.25	145.47			17.48
50019926	306-U1313B-3H-5A,40-42	21.80	24.50	24.50	515.58	8.97	11.44	104.89			16.92
50019927	306-U1313B-3H-5A,42-44	21.82	24.52	24.52	515.80	8.97	24.79	222.11			16.43
50019928	306-U1313B-3H-5A,44-46	21.84	24.54	24.54	516.03	8.97	21.32	190.16			17.44
50019929	306-U1313B-3H-5A,46-48	21.86	24.56	24.56	516.25	8.97	20.35	182.37			16.57
50019930	306-U1313B-3H-5A,48-50	21.88	24.58	24.58	516.47	8.97	17.28	155.74			17.28
50019931	306-U1313B-3H-5A,50-52	21.90	24.60	24.60	516.69	8.97	9.37	84.17			17.43
50019932	306-U1313B-3H-5A,52-54	21.92	24.62	24.62	516.92	8.97	21.43	193.39			16.63
50019933	306-U1313B-3H-5A,54-56	21.94	24.64	24.64	517.14	8.97	18.35	166.31			16.77
50019934	306-U1313B-3H-5A,56-58	21.96	24.66	24.66	517.36	8.97	25.45	230.51			16.94
50019935	306-U1313B-3H-5A,58-60	21.98	24.68	24.68	517.59	8.97	23.87	213.76			16.71
50019936	306-U1313B-3H-5A,60-62	22.00	24.70	24.70	517.81	8.97	9.32	80.93			17.12
50019937	306-U1313B-3H-5A,62-64	22.02	24.72	24.72	518.03	8.97	24.29	215.55			16.86
50019938	306-U1313B-3H-5A,64-66	22.04	24.74	24.74	518.26	8.97	20.37	184.92			17.21
50019939	306-U1313B-3H-5A,66-68	22.06	24.76	24.76	518.48	8.97	23.69	215.88			17.15
50019940	306-U1313B-3H-5A,68-70	22.08	24.78	24.78	518.70	8.97	18.32	164.67			17.16
50019941	306-U1313B-3H-5A,70-72	22.10	24.80	24.80	518.93	8.97	9.82	87.38			16.78
50019942	306-U1313B-3H-5A,72-74	22.12	24.82	24.82	519.15	8.97	15.21	130.81			16.97
50019943	306-U1313B-3H-5A,74-76	22.14	24.84	24.84	519.37	8.97	18.17	160.36			16.32
50019944	306-U1313B-3H-5A,76-78	22.16	24.86	24.86	519.59	8.97	19.70	176.55			16.56
50019945	306-U1313B-3H-5A,78-80	22.18	24.88	24.88	519.82	8.97	19.12	169.79			17.38
50019946	306-U1313B-3H-5A,80-82	22.20	24.90	24.90	520.04	8.97	14.18	126.55			16.89
50019947	306-U1313B-3H-5A,82-84	22.22	24.92	24.92	520.26	8.97	19.55	172.93			16.72
50019948	306-U1313B-3H-5A,84-86	22.24	24.94	24.94	520.49	8.97	14.78	129.30			16.40
50019949	306-U1313B-3H-5A,86-88	22.26	24.96	24.96	520.71	8.97	16.57	146.31			17.21
50019950	306-U1313B-3H-5A,88-90	22.28	24.98	24.98	520.93	8.97	23.11	207.65			16.75
50019951	306-U1313B-3H-5A,90-92	22.30	25.00	25.00	521.16	8.97	12.88	113.68			17.00
50019952	306-U1313B-3H-5A,92-94	22.32	25.02	25.02	521.38	8.97	15.54	138.92	6.11	54.59	17.77
50019953	306-U1313B-3H-5A,94-96	22.34	25.04	25.04	521.60	8.97	16.51	147.21			16.79
50019954	306-U1313B-3H-5A,96-98	22.36	25.06	25.06	521.82	8.97	17.65	154.69			17.54
50019955	306-U1313B-3H-5A,98-100	22.38	25.08	25.08	522.05	8.97	14.03	121.29			17.90
50019956	306-U1313B-3H-5A,100-102	22.40	25.10	25.10	522.27	8.97	6.38	56.77			16.57
50019957	306-U1313B-3H-5A,102-104	22.42	25.12	25.12	522.49	8.97	16.50	148.10			16.93
50019958	306-U1313B-3H-5A,104-106	22.44	25.14	25.14	522.72	8.97	12.59	110.97			17.44
50019959	306-U1313B-3H-5A,106-108	22.46	25.16	25.16	522.94	8.97	19.48	172.76			16.68
50019960	306-U1313B-3H-5A,108-110	22.48	25.18	25.18	523.16	8.97	30.82	278.05			16.43
50019961	306-U1313B-3H-5A,110-112	22.50	25.20	25.20	523.39	8.97	9.07	78.15			16.99
50019962	306-U1313B-3H-5A,112-114	22.52	25.22	25.22	523.61	8.97	16.43	147.28			16.73
50019963	306-U1313B-3H-5A,114-116	22.54	25.24	25.24	523.83	8.97	14.17	126.71			16.98
50019964	306-U1313B-3H-5A,116-118	22.56	25.26	25.26	524.06	8.97	18.03	161.63			16.78
50019965	306-U1313B-3H-5A,118-120	22.58	25.28	25.28	524.28	8.97	17.74	161.67			17.16
50019966	306-U1313B-3H-5A,120-122	22.60	25.30	25.30	524.50	8.97	14.78	134.84			17.16
50019967	306-U1313B-3H-5A,122-124	22.62	25.32	25.32	524.72	8.97	16.65	149.44			17.14
50019968	306-U1313B-3H-5A,124-126	22.64	25.34	25.34	524.95	8.97	14.29	127.35			16.98
50019969	306-U1313B-3H-5A,126-128	22.66	25.36	25.36	525.17	8.97	12.59	112.52			17.06
50019970	306-U1313B-3H-5A,128-130	22.68	25.38	25.38	525.39	8.97	20.94	188.27			17.03
50019971	306-U1313B-3H-5A,130-132	22.70	25.40	25.40	525.62	8.97	9.88	88.59			17.26
50019972	306-U1313B-3H-5A,132-134	22.72	25.42	25.42	525.84	8.97	27.33	245.06			16.82
50019973	306-U1313B-3H-5A,134-136	22.74	25.44	25.44	526.06	8.97	25.09	226.28			16.90
50019974	306-U1313B-3H-5A,136-138	22.76	25.46	25.46	526.29	8.97	31.09	280.71			17.07
50019975	306-U1313B-3H-5A,138-140	22.78	25.48	25.48	526.51	8.97	28.54	254.89			16.62
50019976	306-U1313B-3H-5A,140-142	22.80	25.50	25.50	526.73	8.97	26.22	227.65			15.85
50019977	306-U1313B-3H-5A,142-144	22.82	25.52	25.52	526.95	8.97	43.14	361.87			15.63
50019978	306-U1313B-3H-5A,144-146	22.84	25.54	25.54	527.18	8.97	44.99	383.98	12.16	103.79	15.40
50019979	306-U1313B-3H-5A,146-148	22.86	25.56	25.56	527.40	8.97	34.06	304.25			15.55
50019980	306-U1313B-3H-5A,148-150	22.88	25.58	25.58	527.62	8.97	31.37	291.94			15.97
50019981	306-U1313B-3H-6A,0-2	22.90	25.60	25.60	527.85	8.97	20.28	188.60			15.85
50019982	306-U1313B-3H-6A,2-4	22.92	25.62	25.62	528.07	8.97	19.21	178.58			16.39
50019983	306-U1313B-3H-6A,4-6	22.94	25.64	25.64	528.29	8.97	20.49	190.47			16.49
50019984	306-U1313B-3H-6A,6-8	22.96	25.66	25.66	528.52	8.97	23.52	220.26			16.88
50019985	306-U1313B-3H-6A,8-10	22.98	25.68	25.68	528.74	8.97	19.50	184.42			16.68
50019986	306-U1313B-3H-6A,10-12	23.00	25.70	25.70	528.96	8.97	12.46	117.02			15.69
50019987	306-U1313B-3H-6A,12-14	23.02	25.72	25.72	529.19	8.97	24.87	225.68			16.43
50019988	306-U1313B-3H-6A,14-16	23.04	25.74	25.74	529.41	8.97	24.51	221.93			16.59
50019989	306-U1313B-3H-6A,16-18	23.06	25.76	25.76	529.63	8.97	21.16	193.29			16.52
50019990	306-U1313B-3H-6A,18-20	23.08	25.78	25.78	529.85	8.97	27.10	248.57			16.75
50019991	306-U1313B-3H-6A,20-22	23.10	25.80	25.80	530.08	8.97	14.78	134.42			15.99
50019992	306-U1313B-3H-6A,22-24	23.12	25.82	25.82	530.30	8.97	26.45	241.72			16.26
50019993	306-U1313B-3H-6A,24-26	23.14	25.84	25.84	530.52	8.97	27.85	258.19			16.03
50019994	306-U1313B-3H-6A,26-28	23.16	25.86	25.86	530.75	8.97	40.75	382.10			16.14
50019995	306-U1313B-3H-6A,28-30	23.18	25.88	25.88	530.97	8.97	27.64	260.33			16.56
50019996	306-U1313B-3H-6A,30-32	23.20	25.90	25.90	531.19	8.97	20.99	197.73			16.03
50019997	306-U1313B-3H-6A,32-34	23.22	25.92	25.92	531.42	8.97	30.00	277.87			16.45
50019998	306-U1313B-3H-6A,34-36	23.24	25.94	25.94	531.64	8.97	28.14	261.13			16.84
50019999	306-U1313B-3H-6A,36-38	23.26	25.96	25.96	531.86	8.97	27.18	256.47			16.75
50020000	306-U1313B-3H-6A,38-40	23.28	25.98	25.98	532.08	8.97	27.78	265.26			16.25
50020001	306-U1313B-3H-6A,40-42	23.30	26.00	26.00	532.31	8.97	18.68	174.34			16.04
50020002	306-U1313B-3H-6A,42-44	23.32	26.02	26.02	532.53	8.97	35.07	397.36	10.59	119.93	16.49
50020003	306-U1313B-3H-6A,44-46	23.34	26.04	26.04	532.75	8.97	40.02	416.23			16.10
50020004	306-U1313B-3H-6A,46-48	23.36	26.06	26.06	532.98	8.97	34.39	315.59			16.53
50020005	306-U1313B-3H-6A,48-50	23.38	26.08	26.08	533.20	8.97	30.35	268.92			16.48
50020006	306-U1313B-3H-6A,50-52	23.40	26.10	26.10	533.42	8.97	31.13	287.48			16.06
50020007	306-U1313B-3H-6A,52-54	23.42	26.12	26.12	533.65	8.97	43.22	396.74			16.44
50020008	306-U1313B-3H-6A,54-56	23.44	26.14	26.14	533.87	8.97	68.49	621.26			16.19
50020009	306-U1313B-3H-6A,56-58	23.46	26.16	26.16	534.09	8.97	70.69	633.61			16.31
50020010	306-U1313B-3H-6A,58-60	23.48	26.18	26.18	534.32	8.97	96.79	855.55			12.96
50022241	306-U1313C-4H-2A,14-16	23.34	26.14	26.18	534.32	8.97	113.71	1031.52			15.80
50022242	306-U1313C-4H-2A,16-18	23.36	26.16	26.20	534.54	8.97	59.73	514.39	50.17	449.68	12.23
50020011	306-U1313B-3H-6A,60-62	23.50	26.20	26.20	534.54	8.97	107.76	965.95			15.01
50020012	306-U1313B-3H-6A,62-64	23.52	26.22	26.22	534.76	8.97	96.78	856.49			14.79
50022243	306-U1313C-4H-2A,18-20	23.38	26.18	26.23	534.87	8.97	132.92	1174.88			11.98
50020013	306-U1313B-3H-6A,64-66	23.54	26.24	26.24	534.98	8.97	86.53	746.68			14.19
50022244	306-U1313C-4H-2A,20-22	23.40	26.20	26.25	535.10	8.97	108.47	934.14			12.05
50020014	306-U1313B-3H-6A,66-68	23.56	26.26	26.26	535.21	8.97	115.31	963.66			14.43
50022245	306-U1313C-4H-2A,22-24	23.42	26.22	26.27	535.32	8.97	180.02	1593.25	97.41	862.13	12.80
50020015	306-U1313B-3H-6A,68-70	23.58	26.28	26.28	535.43	8.97	115.94	947.57			14.16
50022246	306-U1313C-4H-2A,24-26	23.44	26.24	26.29	535.54	8.97	150.61	1299.63			11.19
